"Official exchange rate:";06.07.2016;;;
;;;;
Valuta;Cod;Abr;Rata;Cursul
"Coroana ceha";203;CZK;1;0,8179
"Coroana daneza";208;DKK;1;2,9753
"Coroana islandeza";352;ISK;10;1,6208
"Coroana norvegiana";578;NOK;1;2,3846
"Coroana suedeza";752;SEK;1;2,3497
D.S.T.;960;XDR;1;27,7107
"Denar macedonian";807;MKD;10;3,5960
"Dinar kuweitian";414;KWD;1;65,7915
"Dinar sirb";941;RSD;100;17,9616
"Dirham E.A.U.";784;AED;1;5,4012
"Dolar Hong Kong";344;HKD;1;2,5572
"Dolar S.U.A.";840;USD;1;19,8381
"Dolar australian";036;AUD;1;14,8786
"Dolar canadian";124;CAD;1;15,3760
"Dolar neozeelandez";554;NZD;1;14,2844
"Dram armenesc";051;AMD;10;0,4157
Euro;978;EUR;1;22,1353
"Forint ungar";348;HUF;100;6,9864
"Franc elvetian";756;CHF;1;20,4190
"Hrivna ucraineana";980;UAH;1;0,7983
"Kuna croata";191;HRK;1;2,9511
"Lari georgian";981;GEL;1;8,5142
"Lek albanez";008;ALL;10;1,6172
"Leu romanesc";946;RON;1;4,9004
"Leva bulgara";975;BGN;1;11,3205
"Lira sterlina";826;GBP;1;26,1189
"Lira turceasca";949;TRY;1;6,8066
"Manat azer";944;AZN;1;12,6321
"Manat turkmen";934;TMT;1;5,6680
"Ringgit malayezian";458;MYR;1;4,9299
"Rubla bielorusa";933;BYN;1;9,8795
"Rubla rusa";643;RUB;1;0,3090
"Rupia indiana";356;INR;10;2,9400
"Shekel israelian";376;ILS;1;5,1293
"Som kirghiz";417;KGS;10;2,9433
"Somoni tadjic";972;TJS;1;2,5214
"Sum uzbek";860;UZS;100;0,6740
"Tenghe kazah";398;KZT;10;0,5884
"Won sud-coreean";410;KRW;100;1,7171
"Yen japonez";392;JPY;100;19,5027
"Yuan Renminbi chinezesc";156;CNY;1;2,9736
"Zlot polonez";985;PLN;1;4,9797

"Sursa datelor:";BNM
Data:;06.07.2016
Ora:;16:34
